Date,"Alberta, Canada","British Columbia, Canada","Ontario, Canada","Saskatchewan, Canada",Market Category
7/1/2019,0,0,0,0,Vapor Pens
7/1/2020,746699,481527,690711,119950,Beverages
7/1/2020,592375,545469,622120,165860,Capsules
7/1/2020,1502172,529827,495814,231142,Concentrates
7/1/2020,1834418,1254790,1770158,374853,Edibles
7/1/2020,26243470,18410352,27950296,6536438,Flower
7/1/2020,1583910,1922678,1495601,511237,Oil
7/1/2020,10782532,6784209,5828345,2576073,Pre-Rolls
7/1/2020,153734,159291,144699,35126,Topical
7/1/2020,8329471,4563598,7255443,2183383,Vapor Pens
8/1/2019,0,0,0,0,Beverages
8/1/2019,700240,354600,696455,144765,Capsules
8/1/2019,0,0,0,0,Concentrates
8/1/2019,0,0,0,0,Edibles
8/1/2019,16190691,8575478,21186044,4547679,Flower
8/1/2019,1654483,1293510,2017684,514479,Oil
8/1/2019,6304346,1810958,4508048,1611801,Pre-Rolls
8/1/2019,0,0,0,0,Topical
8/1/2019,0,0,0,0,Vapor Pens
8/1/2020,801629,583556,872554,134624,Beverages
8/1/2020,586634,573093,726735,158947,Capsules
8/1/2020,1194056,603855,637674,217429,Concentrates
8/1/2020,1791739,1313804,1981567,373036,Edibles
8/1/2020,26652134,18948652,34357438,6363418,Flower
8/1/2020,1556894,1972150,1766426,498141,Oil
8/1/2020,11274717,7454132,8278786,2716324,Pre-Rolls
8/1/2020,149869,171064,219732,44581,Topical
8/1/2020,8558293,4925393,8970961,2088332,Vapor Pens
9/1/2019,0,0,0,0,Beverages
9/1/2019,654856,282887,576612,138023,Capsules
9/1/2019,0,0,0,0,Concentrates
9/1/2019,0,0,0,0,Edibles
9/1/2019,16845804,8653038,20185097,4823114,Flower
9/1/2019,1656402,1324602,1813247,513639,Oil
9/1/2019,6611067,1823786,3858954,1605983,Pre-Rolls
9/1/2019,0,0,0,0,Topical
9/1/2019,0,0,0,0,Vapor Pens
9/1/2020,831785,595024,889839,146575,Beverages
9/1/2020,571201,579026,804634,179809,Capsules
9/1/2020,1183517,716957,765618,217952,Concentrates
9/1/2020,1740421,1220856,1955222,376010,Edibles
9/1/2020,28014695,19056808,36501783,6951806,Flower
9/1/2020,1599601,1954499,1753118,565572,Oil
9/1/2020,10773338,7556958,9120679,2639717,Pre-Rolls
9/1/2020,153863,187886,246139,43164,Topical
9/1/2020,8755798,5034822,9565014,2345441,Vapor Pens
10/1/2019,0,0,0,0,Beverages
10/1/2019,643280,397130,625934,143763,Capsules
10/1/2019,0,0,0,0,Concentrates
10/1/2019,0,0,0,0,Edibles
10/1/2019,18512664,8917683,20883397,5081259,Flower
10/1/2019,1697989,1289245,1929503,506318,Oil
10/1/2019,7451464,2328574,4067600,1594729,Pre-Rolls
10/1/2019,0,0,0,0,Topical
10/1/2019,0,0,0,0,Vapor Pens
10/1/2020,809659,592315,938470,152869,Beverages
10/1/2020,613139,591946,896802,173083,Capsules
10/1/2020,1231291,879237,1176828,232101,Concentrates
10/1/2020,2086312,1472921,2419267,422404,Edibles
10/1/2020,29424671,19357663,38060887,7211135,Flower
10/1/2020,1660436,2069720,1947332,554658,Oil
10/1/2020,10994778,7449257,10241340,2610364,Pre-Rolls
10/1/2020,181445,182064,274140,47336,Topical
10/1/2020,9331736,5341919,10399820,2361660,Vapor Pens
11/1/2019,0,0,0,0,Beverages
11/1/2019,601538,590910,680113,156157,Capsules
11/1/2019,0,0,0,0,Concentrates
11/1/2019,0,0,0,0,Edibles
11/1/2019,19035781,13095932,20176198,5197235,Flower
11/1/2019,1715738,1768397,1727250,509019,Oil
11/1/2019,8479496,3564749,4019399,1568745,Pre-Rolls
11/1/2019,0,0,0,0,Topical
11/1/2019,0,0,0,0,Vapor Pens
11/1/2020,783706,589111,1058161,129604,Beverages
11/1/2020,590114,560316,939090,165028,Capsules
11/1/2020,1244565,949716,1366128,297289,Concentrates
11/1/2020,1998353,1520808,2584364,410847,Edibles
11/1/2020,27579074,18759265,38507717,7015371,Flower
11/1/2020,1583187,1903966,2165604,523272,Oil
11/1/2020,10200117,7208805,10584438,2369975,Pre-Rolls
11/1/2020,0,0,5310,0,Tincture-Sublinguals
11/1/2020,165000,166080,276834,40544,Topical
11/1/2020,9163216,5194071,11395882,2264813,Vapor Pens
12/1/2019,0,0,0,0,Beverages
12/1/2019,732149,587216,729128,163321,Capsules
12/1/2019,0,0,0,0,Concentrates
12/1/2019,0,0,0,0,Edibles
12/1/2019,20378858,12009833,21756825,5273196,Flower
12/1/2019,1872925,1720496,1752502,500657,Oil
12/1/2019,9333964,3447440,4206802,1674178,Pre-Rolls
12/1/2019,0,0,0,0,Topical
